 Length, Breadth, Height, Fheight, Fbreadth, Type
190.5,152.5,145,73.5,136.5,1
172.5,132,125.5,63,121,1
167,130,125.5,69.5,119.5,1
169.5,150.5,133.5,64.5,128,1
175,138.5,126,77.5,135.5,1
177.5,142.5,142.5,71.5,131,1
179.5,142.5,127.5,70.5,134.5,1
179.5,138,133.5,73.5,132.5,1
173.5,135.5,130.5,70,133.5,1
162.5,139,131,62,126,1
178.5,135,136,71,124,1
171.5,148.5,132.5,65,146.5,1
180.5,139,132,74.5,134.5,1
183,149,121.5,76.5,142,1
169.5,130,131,68,119,1
172,140,136,70.5,133.5,1
170,126.5,134.5,66,118.5,1
182.5,136,138.5,76,134,2
179.5,135,128.5,74,132,2
191,140.5,140.5,72.5,131.5,2
184.5,141.5,134.5,76.5,141.5,2
181,142,132.5,79,136.5,2
173.5,136.5,126,71.5,136.5,2
188.5,130,143,79.5,136,2
175,153,130,76.5,143,2
196,142.5,123.5,76,134,2
200,139.5,143.5,82.5,146,2
185,134.5,140,81.5,137,2
174.5,143.5,132.5,74,136.5,2
195.5,144,138.5,78.5,144,2
197,131.5,135,80.5,139,2
182.5,131,135,68.5,136,2
