"","season","date","team","game_num"
"1","2005-2006","2005-11-01","DAL",1
"2","2005-2006","2005-11-01","DEN",1
"3","2005-2006","2005-11-01","MIL",1
"4","2005-2006","2005-11-01","NOH",1
"5","2005-2006","2005-11-01","PHI",1
"6","2005-2006","2005-11-01","PHO",1
"7","2005-2006","2005-11-01","SAC",1
"8","2005-2006","2005-11-01","SAS",1
"9","2005-2006","2005-11-02","ATL",1
"10","2005-2006","2005-11-02","BOS",1
"11","2005-2006","2005-11-02","BRK",1
"12","2005-2006","2005-11-02","CHA",1
"13","2005-2006","2005-11-02","CHI",1
"14","2005-2006","2005-11-02","CLE",1
"15","2005-2006","2005-11-02","DAL",2
"16","2005-2006","2005-11-02","DEN",2
"17","2005-2006","2005-11-02","DET",1
"18","2005-2006","2005-11-02","GSW",1
"19","2005-2006","2005-11-02","HOU",1
"20","2005-2006","2005-11-02","IND",1
"21","2005-2006","2005-11-02","LAC",1
"22","2005-2006","2005-11-02","LAL",1
"23","2005-2006","2005-11-02","MEM",1
"24","2005-2006","2005-11-02","MIA",1
"25","2005-2006","2005-11-02","MIL",2
"26","2005-2006","2005-11-02","MIN",1
"27","2005-2006","2005-11-02","NOH",2
"28","2005-2006","2005-11-02","NYK",1
"29","2005-2006","2005-11-02","OKC",1
"30","2005-2006","2005-11-02","ORL",1
"31","2005-2006","2005-11-02","PHI",2
"32","2005-2006","2005-11-02","POR",1
"33","2005-2006","2005-11-02","SAC",2
"34","2005-2006","2005-11-02","TOR",1
"35","2005-2006","2005-11-02","UTA",1
"36","2005-2006","2005-11-02","WAS",1
"37","2005-2006","2005-11-03","IND",2
"38","2005-2006","2005-11-03","LAL",2
"39","2005-2006","2005-11-03","MIA",2
"40","2005-2006","2005-11-03","PHO",2
"41","2005-2006","2005-11-04","ATL",2
"42","2005-2006","2005-11-04","BOS",2
"43","2005-2006","2005-11-04","BRK",2
"44","2005-2006","2005-11-04","CHA",2
"45","2005-2006","2005-11-04","CLE",2
"46","2005-2006","2005-11-04","DEN",3
"47","2005-2006","2005-11-04","DET",2
"48","2005-2006","2005-11-04","GSW",2
"49","2005-2006","2005-11-04","LAC",2
"50","2005-2006","2005-11-04","MEM",2
"51","2005-2006","2005-11-04","MIN",2
"52","2005-2006","2005-11-04","NYK",2
"53","2005-2006","2005-11-04","OKC",2
"54","2005-2006","2005-11-04","ORL",2
"55","2005-2006","2005-11-04","PHI",3
"56","2005-2006","2005-11-04","POR",2
"57","2005-2006","2005-11-04","SAS",2
"58","2005-2006","2005-11-04","TOR",2
"59","2005-2006","2005-11-04","UTA",2
"60","2005-2006","2005-11-04","WAS",2
"61","2005-2006","2005-11-05","ATL",3
"62","2005-2006","2005-11-05","BOS",3
"63","2005-2006","2005-11-05","BRK",3
"64","2005-2006","2005-11-05","CHA",3
"65","2005-2006","2005-11-05","CHI",2
"66","2005-2006","2005-11-05","CLE",3
"67","2005-2006","2005-11-05","DAL",3
"68","2005-2006","2005-11-05","DET",3
"69","2005-2006","2005-11-05","HOU",2
"70","2005-2006","2005-11-05","IND",3
"71","2005-2006","2005-11-05","LAC",3
"72","2005-2006","2005-11-05","MEM",3
"73","2005-2006","2005-11-05","MIA",3
"74","2005-2006","2005-11-05","MIL",3
"75","2005-2006","2005-11-05","MIN",3
"76","2005-2006","2005-11-05","NOH",3
"77","2005-2006","2005-11-05","ORL",3
"78","2005-2006","2005-11-05","PHI",4
"79","2005-2006","2005-11-05","PHO",3
"80","2005-2006","2005-11-05","POR",3
"81","2005-2006","2005-11-05","SAS",3
